date,close
5/16/19,359.31
5/15/19,354.99
5/14/19,345.61
5/13/19,345.26
5/10/19,361.04
5/9/19,362.75
5/8/19,364.37
5/7/19,370.46
5/6/19,378.67
5/3/19,385.03
5/2/19,379.06
5/1/19,378.81
4/30/19,370.54
4/29/19,371.83
4/26/19,374.85
4/25/19,368.33
4/24/19,374.23
4/23/19,381.89
4/22/19,377.34
4/18/19,360.35
4/17/19,354.74
4/16/19,359.46
4/15/19,348.87
4/12/19,351.14
4/11/19,367.65
4/10/19,363.92
4/9/19,364.71
4/8/19,361.41
4/5/19,365.49
4/4/19,367.88
4/3/19,369.75
4/2/19,367.72
4/1/19,366.96
3/29/19,356.56
3/28/19,354.61
3/27/19,353.37
3/26/19,359.97
3/25/19,366.23
3/22/19,361.01
3/21/19,377.87
3/20/19,375.22
3/19/19,358.78
3/18/19,363.44
3/15/19,361.46
3/14/19,358.82
3/13/19,361.21
3/12/19,356.27
3/11/19,358.86
3/8/19,349.6
3/7/19,352.6
3/6/19,359.61
3/5/19,354.3
3/4/19,351.04
3/1/19,357.32
2/28/19,358.1
2/27/19,362.87
2/26/19,364.97
2/25/19,363.91
2/22/19,363.02
2/21/19,356.97
2/20/19,359.91
2/19/19,361.92
2/15/19,356.87
2/14/19,359.07
2/13/19,351.77
2/12/19,359.97
2/11/19,345.73
2/8/19,347.57
2/7/19,344.71
2/6/19,352.19
2/5/19,355.81
2/4/19,351.34
2/1/19,339.85
1/31/19,339.5
1/30/19,340.66
1/29/19,328.9
1/28/19,335.66
1/25/19,338.05
1/24/19,326.67
1/23/19,321.99
1/22/19,325.16
1/18/19,339.1
1/17/19,353.19
1/16/19,351.39
1/15/19,354.64
1/14/19,332.94
1/11/19,337.59
1/10/19,324.66
1/9/19,319.96
1/8/19,320.27
1/7/19,315.34
1/4/19,297.57
1/3/19,271.2
1/2/19,267.66
12/31/18,267.66
12/28/18,256.08
12/27/18,255.565
12/26/18,253.67
12/24/18,233.88
12/21/18,246.39
12/20/18,260.58
12/19/18,266.77
12/18/18,270.94
12/17/18,262.8
12/14/18,266.84
12/13/18,276.02
12/12/18,274.88
12/11/18,265.32
12/10/18,269.7
12/7/18,265.14
12/6/18,282.88
12/4/18,275.33
12/3/18,290.3
11/30/18,286.13
11/29/18,288.75
11/28/18,282.65
11/27/18,266.63
11/26/18,261.43
11/23/18,258.82
11/21/18,262.13
11/20/18,266.98
11/19/18,270.6
11/16/18,286.21
11/15/18,290.06
11/14/18,286.73
11/13/18,294.4
11/12/18,294.07
11/9/18,303.47
11/8/18,317.92
11/7/18,327.5
11/6/18,310.84
11/5/18,315.44
11/2/18,309.1
11/1/18,317.38
10/31/18,301.78
10/30/18,285.81
10/29/18,284.84
10/26/18,299.83
10/25/18,312.87
10/24/18,301.83
10/23/18,333.16
10/22/18,329.54
10/19/18,332.67
10/18/18,346.71
10/17/18,364.7
10/16/18,346.4
10/15/18,333.13
10/12/18,339.56
10/11/18,321.1
10/10/18,325.89
10/9/18,355.71
10/8/18,349.1
10/5/18,351.35
10/4/18,363.65
10/3/18,377.05
10/2/18,377.14
10/1/18,381.43
9/28/18,374.13
9/27/18,380.71
9/26/18,377.88
9/25/18,369.43
9/24/18,369.61
9/21/18,361.19
9/20/18,365.36
9/19/18,366.96
9/18/18,367.65
9/17/18,350.35
9/14/18,364.56
9/13/18,368.15
9/12/18,369.95
9/11/18,355.93
9/10/18,348.41
9/7/18,348.68
9/6/18,346.46
9/5/18,341.18
9/4/18,363.6
8/31/18,367.68
8/30/18,370.98
8/29/18,368.04
8/28/18,368.49
8/27/18,364.58
8/24/18,358.82
8/23/18,339.17
8/22/18,344.44
8/21/18,338.02
8/20/18,327.73
8/17/18,316.78
8/16/18,322.44
8/15/18,326.4
8/14/18,337.49
8/13/18,341.31
8/10/18,345.87
8/9/18,349.36
8/8/18,347.61
8/7/18,351.83
8/6/18,350.92
8/3/18,343.09
8/2/18,344.5
8/1/18,338.38
7/31/18,337.45
7/30/18,334.96
7/27/18,355.21
7/26/18,363.09
7/25/18,362.87
7/24/18,357.32
7/23/18,362.66
7/20/18,361.05
7/19/18,364.23
7/18/18,375.13
7/17/18,379.48
7/16/18,400.48
7/13/18,395.8
7/12/18,413.5
7/11/18,418.65
7/10/18,415.63
7/9/18,418.97
7/6/18,408.25
7/5/18,398.39
7/3/18,390.52
7/2/18,398.18
6/29/18,391.43
6/28/18,395.42
6/27/18,390.39
6/26/18,399.39
6/25/18,384.48
6/22/18,411.09
6/21/18,415.44
6/20/18,416.76
6/19/18,404.98
6/18/18,390.4
6/15/18,391.98
6/14/18,392.87
6/13/18,379.93
6/12/18,363.83
6/11/18,361.45
6/8/18,360.57
6/7/18,361.4
6/6/18,367.45
6/5/18,365.8
6/4/18,361.81
6/1/18,359.93
5/31/18,351.6
5/30/18,353.54
5/29/18,349.73
5/25/18,351.29
5/24/18,349.29
5/23/18,344.72
5/22/18,331.62
5/21/18,331.82
5/18/18,324.18
5/17/18,325.22
5/16/18,328.19
5/15/18,326.13
5/14/18,328.53
5/11/18,326.46
5/10/18,329.6
5/9/18,330.3
5/8/18,326.89
5/7/18,326.26
5/4/18,320.09
5/3/18,311.69
5/2/18,313.36
5/1/18,313.3
4/30/18,312.46
4/27/18,311.76
4/26/18,313.98
4/25/18,305.76
4/24/18,307.02
4/23/18,318.69
4/20/18,327.77
4/19/18,332.7
4/18/18,334.52
4/17/18,336.06
4/16/18,307.78
4/13/18,311.65
4/12/18,309.25
4/11/18,303.67
4/10/18,298.07
4/9/18,289.93
4/6/18,288.85
4/5/18,293.97
