salesHistoryKey,propertyKey,streetAddress,salesTypeDsc,saleAmt,saleDate
117701,64736,1121 ARLINGTON BLVD 831,O-Assignment of Lease,275000,2019-06-24
270452,64190,989 S BUCHANAN ST 418,B-Not Previously Assessed,565000,2019-06-21
117663,23057,1121 ARLINGTON BLVD 820,O-Assignment of Lease,165000,2019-06-20
117485,23019,1121 ARLINGTON BLVD 717,O-Assignment of Lease,171900,2019-06-20
86768,53495,3800 FAIRFAX DR 1-83,C-Condo Parking Space,34000,2019-06-17
4041,785,2643 N ROCKINGHAM ST,B-Not Previously Assessed,1630000,2019-06-17
269590,51439,1138 N STUART ST,L-Land Sale,1531210,2019-06-16
270442,64188,989 S BUCHANAN ST 412,B-Not Previously Assessed,510000,2019-06-14
89834,17762,901 N STUART ST 4-179,"4-Multiple RPCs, Not A Coded S",415000,2019-06-13
88661,17531,900 N STAFFORD ST 1806,"4-Multiple RPCs, Not A Coded S",415000,2019-06-13
174091,33975,4600 S FOUR MILE RUN DR 0741,"1-Foreclosure, Auction, Bankru",187000,2019-06-12
270346,57109,989 S BUCHANAN ST 210,B-Not Previously Assessed,408363,2019-06-10
269592,51440,1136 N STUART ST,L-Land Sale,1630035,2019-06-10
91849,18018,900 N TAYLOR ST 2029,5-Not Market Sale,130600,2019-06-10
39431,7864,4401 LEE HWY 15,"1-Foreclosure, Auction, Bankru",174000,2019-06-07
120441,23642,1011 ARLINGTON BLVD 844,O-Assignment of Lease,141000,2019-06-07
269587,64136,1140 N STUART ST,L-Land Sale,1642147,2019-06-07
229369,44262,851 N GLEBE RD 1801,5-Not Market Sale,520000,2019-06-05
91703,18000,900 N TAYLOR ST 1924,5-Not Market Sale,40000,2019-06-05
270437,51720,989 S BUCHANAN ST 409,B-Not Previously Assessed,306456,2019-06-03
124502,24439,2400 CLARENDON BLVD 203,E-Estate Sale,435000,2019-06-01
129729,25463,2601 ARLINGTON BLVD 00038,"1-Foreclosure, Auction, Bankru",253000,2019-05-31
91190,17935,900 N TAYLOR ST 1511,5-Not Market Sale,135000,2019-05-31
270329,64180,989 S BUCHANAN ST 201,B-Not Previously Assessed,299000,2019-05-31
91723,18003,900 N TAYLOR ST 1929,F-Multiple RPCs Not Market Sal,395000,2019-05-31
90820,17892,900 N TAYLOR ST 1117,5-Not Market Sale,340000,2019-05-31
91728,18004,900 N TAYLOR ST 1931,F-Multiple RPCs Not Market Sal,395000,2019-05-31
118088,23148,1111 ARLINGTON BLVD 213,O-Assignment of Lease,150500,2019-05-31
140436,27565,138 S COLUMBUS ST,5-Not Market Sale,670000,2019-05-31
43472,8624,19th RD N,"4-Multiple RPCs, Not A Coded S",750000,2019-05-30
88238,17455,900 N STAFFORD ST 1114,"4-Multiple RPCs, Not A Coded S",265000,2019-05-30
147096,28846,816 S DINWIDDIE ST,E-Estate Sale,430000,2019-05-30
154708,30316,112 S BARTON ST,E-Estate Sale,630000,2019-05-30
43385,8607,4524 19th RD N,"4-Multiple RPCs, Not A Coded S",750000,2019-05-30
270355,51686,989 S BUCHANAN ST 215,B-Not Previously Assessed,391000,2019-05-30
89809,17758,901 N STUART ST 4-173,"4-Multiple RPCs, Not A Coded S",265000,2019-05-30
270353,51685,989 S BUCHANAN ST 214,B-Not Previously Assessed,392000,2019-05-30
270405,51708,989 S BUCHANAN ST 317,B-Not Previously Assessed,394168,2019-05-29
168784,52813,5240 11th ST S,5-Not Market Sale,630000,2019-05-24
121591,23886,1021 ARLINGTON BLVD 705,O-Assignment of Lease,155000,2019-05-23
116678,22849,1121 ARLINGTON BLVD 228,O-Assignment of Lease,50000,2019-05-23
270395,51703,989 S BUCHANAN ST 312,B-Not Previously Assessed,490000,2019-05-23
37404,62238,1700 N QUEBEC ST,E-Estate Sale,700000,2019-05-23
270333,51678,989 S BUCHANAN ST 203,B-Not Previously Assessed,495211,2019-05-23
270397,51704,989 S BUCHANAN ST 313,B-Not Previously Assessed,513000,2019-05-23
270401,51706,989 S BUCHANAN ST 315,B-Not Previously Assessed,396168,2019-05-23
270425,51715,989 S BUCHANAN ST 403,B-Not Previously Assessed,538000,2019-05-22
189419,58847,4506 36th ST S A2,7-Partial Interest,189800,2019-05-22
270389,51701,989 S BUCHANAN ST 309,B-Not Previously Assessed,260000,2019-05-20
90295,17828,900 N TAYLOR ST 709,"1-Foreclosure, Auction, Bankru",90000,2019-05-17
270340,64182,989 S BUCHANAN ST 207,B-Not Previously Assessed,386528,2019-05-16
270338,51680,989 S BUCHANAN ST 206,B-Not Previously Assessed,389863,2019-05-16
48495,62600,1826 N CAMERON ST,G-New Construction,1458464,2019-05-15
270427,57116,989 S BUCHANAN ST 404,B-Not Previously Assessed,303000,2019-05-15
235346,60307,1021 N GARFIELD ST 336,K-Financial Institution,584000,2019-05-14
119623,23471,1011 ARLINGTON BLVD 405,O-Assignment of Lease,132000,2019-05-14
270435,51719,989 S BUCHANAN ST 408,B-Not Previously Assessed,304500,2019-05-14
118859,23313,1111 ARLINGTON BLVD 643,O-Assignment of Lease,196000,2019-05-13
270365,51691,989 S BUCHANAN ST 221,B-Not Previously Assessed,417000,2019-05-13
25888,5158,4031 NELLY CUSTIS DR,"4-Multiple RPCs, Not A Coded S",763000,2019-05-10
26391,5262,NELLY CUSTIS DR,"4-Multiple RPCs, Not A Coded S",763000,2019-05-10
120491,23653,1011 ARLINGTON BLVD 911,O-Assignment of Lease,144000,2019-05-10
121947,23961,1021 ARLINGTON BLVD 909,O-Assignment of Lease,167000,2019-05-10
90233,64963,900 N TAYLOR ST 624,5-Not Market Sale,165000,2019-05-10
270407,64185,989 S BUCHANAN ST 318,B-Not Previously Assessed,495900,2019-05-10
270455,51728,989 S BUCHANAN ST 420,B-Not Previously Assessed,319000,2019-05-10
270475,64191,5710 5th ST N,B-Not Previously Assessed,1269900,2019-05-10
119574,23459,1011 ARLINGTON BLVD 225,O-Assignment of Lease,160000,2019-05-09
50002,9925,1620 N GEORGE MASON DR,"1-Foreclosure, Auction, Bankru",841000,2019-05-08
12416,2446,5117 26th RD N,G-New Construction,1800000,2019-05-07
270420,51713,989 S BUCHANAN ST 326,B-Not Previously Assessed,353684,2019-05-06
119063,23356,1111 ARLINGTON BLVD 806,O-Assignment of Lease,185000,2019-05-06
269711,51487,497 N ABINGDON ST,G-New Construction,1615000,2019-05-06
163476,52651,3908 16th ST S,5-Not Market Sale,450000,2019-05-03
270360,51688,989 S BUCHANAN ST 218,B-Not Previously Assessed,463092,2019-05-03
117810,23087,1121 ARLINGTON BLVD 913,O-Assignment of Lease,135000,2019-05-03
270449,51725,989 S BUCHANAN ST 416,B-Not Previously Assessed,349871,2019-05-03
