blockGroup,marketCategory,sales20092010,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,ownerOccupied
2402001,Regional Choice,99,8466.67,1,2,0,5,65.2
2102001,Middle Market Stressed,90,6241.67,0,7,8,8,47.9
103002,Regional Choice,87,22000,1,0,2,6,41.3
2102002,Middle Market Stressed,83,670.89,1,6,9,8,49.9
101001,Regional Choice,79,15225,0,0,0,3,78
603002,Regional Choice,76,12125,0,6,3,5,48.9
2401001,Regional Choice,74,1780.49,1,9,1,5,75.7
602004,Middle Market Stressed,72,13950,3,3,8,8,42
101002,Regional Choice,69,11975,1,1,1,5,69.4
102003,Regional Choice,67,16400,0,0,0,3,77.4
601002,Middle Market,65,13700,0,0,2,7,47.6
2302002,Regional Choice,64,14625,1,2,2,4,67.1
104002,Regional Choice,64,12875,0,2,0,6,42.9
2610004,Middle Market Choice,62,11125,1,0,0,5,62.1
201002,Regional Choice,62,15950,1,1,0,3,55.9
701002,Distressed,62,13375,0,1,8,6,34.4
104001,Regional Choice,61,8383.33,1,1,0,3,61.5
105002,Regional Choice,60,16300,1,1,1,7,50.6
2303001,Regional Choice,60,13850,1,2,1,5,63.3
2604043,Middle Market Stressed,59,2752.94,0,2,3,9,40.4
2101002,Middle Market Stressed,58,11700,1,4,9,8,51.1
601003,Middle Market,57,14600,1,0,4,8,57.8
2302001,Regional Choice,56,11075,1,1,0,3,55.3
203001,Regional Choice,55,8983.33,0,17,1,3,40.2
103001,Regional Choice,54,2204.55,0,3,1,4,76.6
202002,Middle Market Choice,54,9940,0,2,1,6,51.7
1503004,Middle Market Stressed,53,3333.33,0,10,25,3,24.3
2608002,Middle Market Stressed,53,7383.33,0,1,2,8,51.5
2401002,Regional Choice,53,1369.7,0,3,1,3,74.9
2704011,Middle Market,53,4005,0,3,0,8,60.8
2608001,Middle Market Stressed,52,8900,0,1,2,9,36.3
603001,Middle Market Stressed,51,5800,1,18,19,6,26.4
102001,Middle Market Choice,51,12300,1,0,2,8,68.8
1306004,Middle Market Choice,50,2672.22,0,5,0,2,75.1
2609001,Regional Choice,50,4050,0,5,0,5,69.6
906002,Distressed,50,8300,0,4,21,7,38.7
602005,Middle Market Stressed,50,9800,0,0,17,15,23.7
2402002,Regional Choice,49,9000,1,12,0,2,74.9
2301002,Regional Choice,48,6185.71,1,1,1,3,65.4
101003,Regional Choice,47,6100,0,3,0,3,78.6
602001,Middle Market Stressed,47,7650,0,1,12,13,36.1
2404001,Regional Choice,47,17950,1,29,0,1,84.7
2501012,Middle Market,46,3171.43,7,2,0,6,73.7
2303002,Middle Market Choice,46,485.42,1,14,1,8,64.9
602002,Middle Market Choice,46,12700,1,0,2,7,57.8
2609002,Regional Choice,45,9850,0,0,1,3,74.9
2609003,Regional Choice,45,8600,1,1,0,6,32.6
2705024,Middle Market Choice,45,2850,0,2,0,6,70.4
1803002,Middle Market Stressed,45,9960,1,16,7,7,33.2
902001,Middle Market Choice,44,1061.4,0,1,0,4,82.5
602003,Middle Market Choice,42,13200,0,1,2,6,54.7
2603024,Middle Market Stressed,42,10400,0,0,0,6,70
903004,Middle Market Stressed,42,9316.67,0,3,1,9,56.5
2601025,Middle Market Choice,42,2829.41,0,2,1,9,74.6
2611001,Regional Choice,41,10000,1,0,1,5,65.8
904001,Middle Market Stressed,40,6260,0,11,2,8,30.9
2201004,Regional Choice,40,7071.43,1,2,0,1,65.6
703001,Distressed,39,3500,0,5,55,7,24.3
2006001,Distressed,39,764,0,8,7,6,58.4
808003,Distressed,38,6140,4,23,27,4,18.9
907003,Distressed,38,7280,0,2,10,6,45.6
2705014,Middle Market Choice,38,3676.47,0,1,0,4,82.2
2505004,Middle Market Stressed,37,8235.71,0,6,2,7,22.1
801023,Distressed,37,11633.33,0,0,5,8,48.3
1308042,Middle Market Choice,37,2941.18,0,8,1,3,65.9
2504011,Middle Market Stressed,37,3052.38,0,7,3,7,43.4
1207001,Middle Market Choice,37,4500,0,1,0,3,60.9
2404004,Regional Choice,37,13300,1,2,1,2,78.8
901005,Middle Market Stressed,36,9233.33,0,4,7,8,48.9
