Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,Lagged_Return
2014-02-20,100.78,100.78,100.78,100.78,0.05,100.78,15.0,12833.0,0.3183762809670698
2014-02-21,100.61,100.61,100.61,100.61,0.17,100.61,0.0,12833.0,-0.04958841614598475
2014-02-24,100.77,100.77,100.77,100.77,0.16,100.77,6.0,12833.0,-0.16868426275055137
2014-02-25,100.57,100.57,100.57,100.57,0.2,100.57,81.0,12827.0,0.15902991750322837
2014-02-26,100.69,100.69,100.69,100.69,0.12,100.69,0.0,12776.0,-0.19847176739109518
2014-02-27,100.67,100.67,100.67,100.67,0.02,100.67,0.0,12776.0,0.11931987670279476
2014-02-28,100.68,100.68,100.68,100.68,0.01,100.68,0.0,12776.0,-0.01986294567484226
2014-03-03,104.69,104.69,104.69,104.69,2.33,104.69,760.0,11171.0,0.009933445912402306
2014-03-04,103.19,103.19,103.19,103.19,1.5,103.19,221.0,11200.0,3.9829161700436932
2014-03-05,101.51,101.51,101.51,101.51,1.68,101.51,108.0,11201.0,-1.432801604737799
2014-03-06,101.62,101.62,101.62,101.62,0.11,101.62,0.0,11186.0,-1.628064734954926
2014-03-07,102.43,102.43,102.43,102.43,0.81,102.43,80.0,11186.0,0.1083637080090627
2014-03-10,101.34,101.34,101.34,101.34,1.09,101.34,0.0,11186.0,0.7970871875615071
2014-03-11,100.59,100.59,100.59,100.59,0.75,100.59,22.0,11186.0,-1.0641413648345255
2014-03-12,99.27,99.27,99.27,99.27,1.32,99.27,62.0,11186.0,-0.7400828892835998
2014-03-13,99.42,99.42,99.42,99.42,0.15,99.42,71.0,11186.0,-1.3122576796898322
2014-03-14,99.79,99.79,99.79,99.79,0.37,99.79,32.0,11186.0,0.15110305228165366
2014-03-17,99.32,99.32,99.32,99.32,0.47,99.32,0.0,11186.0,0.3721585194125909
2014-03-18,99.97,99.97,99.97,99.97,0.65,99.97,69.0,11186.0,-0.47098907706184523
2014-03-19,100.13,100.13,100.13,100.13,0.16,100.13,0.0,11186.0,0.654450261780104
2014-03-20,100.0,100.0,100.0,100.0,0.13,100.0,0.0,11186.0,0.1600480144043237
2014-03-21,100.18,100.18,100.18,100.18,0.18,100.18,0.0,11186.0,-0.1298312194147555
2014-03-24,100.22,100.22,100.22,100.22,0.04,100.22,0.0,11186.0,0.18000000000000238
2014-03-25,100.13,100.13,100.13,100.13,0.09,100.13,10.0,11186.0,0.03992812936712831
2014-03-26,100.33,100.33,100.33,100.33,0.2,100.33,0.0,11176.0,-0.08980243464378201
2014-03-27,100.48,100.48,100.48,100.48,0.15,100.48,15.0,11176.0,0.1997403375611828
2014-03-28,100.51,100.51,100.51,100.51,0.03,100.51,0.0,11176.0,0.14950662812718285
2014-03-31,101.36,101.36,101.36,101.36,0.09,101.36,163.0,12483.0,0.02985668789809992
2014-04-01,99.54,99.54,99.54,99.54,1.82,99.54,380.0,12380.0,0.845686996318773
2014-04-02,99.42,99.42,99.42,99.42,0.12,99.42,409.0,12010.0,-1.7955801104972302
2014-04-03,100.04,100.04,100.04,100.04,0.62,100.04,16.0,11601.0,-0.12055455093430423
2014-04-04,100.77,100.77,100.77,100.77,0.73,100.77,32.0,11594.0,0.62361697847515
2014-04-07,100.21,100.21,100.21,100.21,0.56,100.21,16.0,11562.0,0.7297081167532804
2014-04-08,101.79,101.79,101.79,101.79,1.58,101.79,360.0,11578.0,-0.5557209486950487
2014-04-09,102.48,102.48,102.48,102.48,0.69,102.48,50.0,11548.0,1.5766889531982908
2014-04-10,102.33,102.33,102.33,102.33,0.15,102.33,40.0,11558.0,0.6778661951075682
2014-04-11,102.51,102.51,102.51,102.51,0.18,102.51,10.0,11568.0,-0.14637002341920669
2014-04-14,102.77,102.77,102.77,102.77,0.26,102.77,0.0,11568.0,0.17590149516271136
2014-04-15,102.63,102.63,102.63,102.63,0.14,102.63,19.0,11568.0,0.25363379182516965
2014-04-16,102.65,102.65,102.65,102.65,0.02,102.65,0.0,11577.0,-0.13622652525056012
2014-04-17,102.82,102.82,102.82,102.82,0.17,102.82,20.0,11577.0,0.019487479294566512
2014-04-21,102.91,102.91,102.91,102.91,0.09,102.91,10.0,11577.0,0.165611300535784
2014-04-22,102.26,102.26,102.26,102.26,0.65,102.26,0.0,11577.0,0.0875316086364597
2014-04-23,102.17,102.17,102.17,102.17,0.09,102.17,28.0,11577.0,-0.6316198620153424
2014-04-24,102.29,102.29,102.29,102.29,0.12,102.29,0.0,11577.0,-0.08801095247409352
2014-04-25,102.03,102.03,102.03,102.03,0.26,102.03,32.0,11577.0,0.11745130664579939
2014-04-28,102.07,102.07,102.07,102.07,0.04,102.07,0.0,11609.0,-0.2541792941636589
2014-04-29,102.11,102.11,102.11,102.11,0.04,102.11,0.0,11609.0,0.03920415564049318
2014-04-30,99.53,99.53,99.53,99.53,1.52,99.53,566.0,11835.0,0.03918879200548453
2014-05-01,99.2,99.2,99.2,99.2,0.33,99.2,461.0,11805.0,-2.526686906277542
2014-05-02,99.5,99.5,99.5,99.5,0.3,99.5,0.0,11944.0,-0.33155832412338215
2014-05-05,99.24,99.24,99.24,99.24,0.26,99.24,6.0,11944.0,0.3024193548387011
2014-05-06,99.22,99.22,99.22,99.22,0.02,99.22,17.0,11938.0,-0.26130653266331905
2014-05-07,100.27,100.27,100.27,100.27,1.05,100.27,82.0,11938.0,-0.02015316404675449
2014-05-08,99.91,99.91,99.91,99.91,0.36,99.91,100.0,11856.0,1.058254384196733
2014-05-09,99.73,99.73,99.73,99.73,0.18,99.73,84.0,11756.0,-0.3590306173332003
2014-05-12,100.14,100.14,100.14,100.14,0.41,100.14,5.0,11706.0,-0.1801621459313285
2014-05-13,100.82,100.82,100.82,100.82,0.68,100.82,0.0,11701.0,0.41110999699187634
2014-05-14,101.21,101.21,101.21,101.21,0.39,101.21,17.0,11701.0,0.6790493309366763
2014-05-15,100.85,100.85,100.85,100.85,0.36,100.85,13.0,11684.0,0.3868280103154209
2014-05-16,101.07,101.07,101.07,101.07,0.22,101.07,31.0,11671.0,-0.35569607746269716
2014-05-19,101.3,101.3,101.3,101.3,0.23,101.3,23.0,11640.0,0.21814576103122985
2014-05-20,101.37,101.37,101.37,101.37,0.07,101.37,181.0,11663.0,0.22756505392302895
2014-05-21,101.95,101.95,101.95,101.95,0.58,101.95,0.0,11782.0,0.06910167818361401
2014-05-22,101.85,101.85,101.85,101.85,0.1,101.85,0.0,11782.0,0.572161388971093
2014-05-23,102.0,102.0,102.0,102.0,0.15,102.0,86.0,11782.0,-0.09808729769495983
2014-05-27,101.95,101.95,101.95,101.95,0.05,101.95,13.0,11696.0,0.14727540500736325
2014-05-28,101.75,101.75,101.75,101.75,0.2,101.75,0.0,11683.0,-0.04901960784313708
2014-05-29,101.84,101.84,101.84,101.84,0.09,101.84,590.0,11683.0,-0.19617459538989745
2014-05-30,102.5,102.5,102.5,102.5,0.85,102.5,750.0,9932.0,0.08845208845209562
2014-06-02,102.28,102.28,102.28,102.28,0.22,102.28,223.0,10208.0,0.6480754124116306
2014-06-03,102.45,102.45,102.45,102.45,0.17,102.45,154.0,10189.0,-0.2146341463414636
2014-06-04,102.43,102.43,102.43,102.43,0.02,102.43,95.0,10176.0,0.1662104028157918
2014-06-05,102.3,102.3,102.3,102.3,0.13,102.3,853.0,10081.0,-0.019521717911175074
