date,description,language,text,title
2019-07-08,"Technology has been used to manage regulatory risk since the advent of the ledger book (or the Bloomberg terminal, depending on your reference point). However, the cost-consciousness internalized...",en,"Technology has been used to manage regulatory risk since the advent of the ledger book (or the Bloomberg terminal, depending on your reference point). However, the cost-consciousness internalized by banks during the 2008 financial crisis combined with more ro… [+1755 chars]",The startups creating the future of RegTech and financial services
2019-07-13,"Michelle Bond joined Ripple Labs, a blockchain-based financial services startup, to lead government affairs in June. Before joining Ripple Labs, Bond was a SEC attorney during the implementation of key international reforms in the wake of the 2008 financial c…",en,"Michelle Bond knows some of the most complicated legal reforms inside and out, sideways and top-down. And now she's bringing her expertise to Silicon Valley to help the tech industry repair its relationship with Washington. 
 Bond joined Ripple Labs, the blo… [+2999 chars]","She helped the SEC implement sweeping reforms in the wake of the 2008 financial crisis. Now, she’s helping Silicon Valley’s financial tech companies get on Washington’s good side."
2019-06-15,"Who doesn’t love making signs and getting angry with other people? Rage is a stronger social lubricant than alcohol, and it’s free!",en,"Having never attended my high school prom (I boycotted it, obviously), I cannot speak from experience, but I imagine that protesting with a truly excellent sign isnt all that different from being voted prom queen. 
But this was all before Eight Belles.
Eigh… [+1508 chars]",I Don’t Go to Parties. I Go to Protests.
2019-07-09,"A probability model used by the New York Fed to calculate the odds of a recession in the next 12 months just hit 32%, the highest level since 2009. A reading above 30% has preceded all recent recessions. Read more on Markets Insider. A key recession tracker j…",en,"David Karp/AP
<ul><li>A probability model used by the New York Fed to calculate the odds of a recession in the next 12 months just hit 32%, the highest level since 2009.</li><li>A reading above 30% has preceded all recent recessions.</li><li>Read more on Mar… [+2369 chars]",A critical recession indicator used by the Fed just hit its highest level since the financial crisis
2019-06-28,"What is the G20, and what do they do when they meet?",en,"Image copyrightGetty ImagesImage caption
 Angela Merkel and Donald Trump in talks at the G20 2017 summit
World leaders from 19 countries and the European Union are meeting in Osaka, Japan, from Friday.
They are the ""Group of 20"" G20 for short but what exac… [+4853 chars]","What is the G20 summit, and what do world leaders talk about?"
2019-07-07,How entrepreneur Andy Scott was able to rebuild his business and personal fortune.,en,"Image copyrightAndy ScottImage caption
 Andy Scott managed to rebuild his business empire and personal fortune
The BBC's weekly The Boss series profiles different business leaders from around the world. This week we speak to serial UK entrepreneur Andy Scot… [+5956 chars]","'I got wiped out, but I was determined to make it back'"
2019-06-21,"As the U.S.-China trade war erodes confidence and central banks prepare to unleash another wave of stimulus, investors are checking which advance warning indicators might be forecasting a global economic recession.",en,"(Reuters) - As the U.S.-China trade war erodes confidence and central banks prepare to unleash another wave of stimulus, investors are checking which advance warning indicators might be forecasting a global economic recession. 
A decade after the 2008 financ… [+5954 chars]",Dashboard of a downturn: global recession signals
2019-07-04,From austerity to name-calling controversies; why Alexis Tsipras's leadership hangs in the balance.,en,"Image copyrightGetty ImagesImage caption
 Greek PM Alexis Tsipras (left) and New Democracy party leader Kyriakos Mitsotakis
Greeks go to the polls on Sunday, barely a month after the ruling, left-wing Syriza party suffered a thumping electoral defeat in Eur… [+6986 chars]",Greek general election: Five issues that matter
2019-07-02,Crisis-era mortgage bonds from 2005-2008 tally more than $600 billion in losses,en,"Old mortgage bonds at the heart of the 2008 global financial market crisis are on the road to becoming extinct.
Like baby boomers eclipsed by millennials, older housing bonds soon will be outnumbered by newer ones that came of age during the past decade.
Mo… [+5062 chars]",Market Extra: Mortgage bonds at heart of crisis dwindle in supply as new breeds take root
2019-07-15,"This is an excerpt from a story delivered exclusively to Business Insider Intelligence Banking subscribers. To receive the full story plus other insights each morning, click here. JPMorgan Chase CEO Jamie Dimon is looking to further expand the bank, saying he…",en,"JPMorgan Chase CEO Jamie Dimon is looking to further expand the bank, saying he wants to ""do one more big one before I'm done,"" according to Bloomberg. The news comes after the bank acquired healthcare payments company InstaMed for $500 million in May. 
Busi… [+2961 chars]",JPMorgan Chase's CEO is hunting for the bank's next acquisition — and we think a US neobank could be the target (JPM)
