,Word,Frequency
850,li,6.03959200803372
343,chars,4.1399446317878095
601,financial,2.740431258860848
1494,warren,2.6010677350775366
527,elizabeth,2.2744705779945438
424,crisis,2.2691010121513324
1283,share,2.1608800865978157
35,2008,2.060890636453918
1431,trump,1.9661775088877083
1442,ul,1.859178094445709
232,bank,1.6974711248276304
1054,plan,1.6746861476791293
1100,president,1.6387542741063916
1533,year,1.630203830808909
515,economic,1.6178771149302273
650,global,1.617171837554028
976,new,1.563556669152782
520,economy,1.4949651077797526
905,market,1.4020057750468
499,donald,1.3524335734125144
