date,VIX,Gold,T-Bonds,Junk Bonds,Oil
2014-10-20,97500.0,119.8,29.18,121.08,33.78
2014-10-21,83000.0,120.02,29.14,121.59,34.17
2014-10-22,95250.0,119.34,29.01,120.75,33.53
2014-10-23,84750.0,118.52,28.96,120.84,34.37
2014-10-24,82750.0,118.35,28.96,121.32,34.17
2014-10-27,81000.0,118.06,29.06,120.93,33.81
2014-10-28,71000.0,118.1,29.1,120.93,34.03
2014-10-29,73000.0,116.41,28.88,121.14,34.55
2014-10-30,73500.0,115.19,28.82,121.08,34.07
2014-10-31,70000.0,112.66,28.59,121.08,34.07
2014-11-03,72250.0,112.15,28.34,120.75,33.35
2014-11-04,71250.0,112.22,28.42,120.36,32.72
2014-11-05,69750.0,109.79,28.25,120.24,33.01
2014-11-06,66250.0,109.88,28.05,120.48,32.8
2014-11-07,64750.0,112.97,28.2,120.54,32.91
2014-11-10,60500.0,110.46,28.13,120.57,32.57
2014-11-11,59750.0,112.04,28.19,120.81,32.2
2014-11-12,61500.0,111.5,28.14,120.6,31.74
2014-11-13,62500.0,111.67,28.17,119.97,30.64
2014-11-14,63000.0,114.47,28.23,119.58,31.34
2014-11-17,63000.0,114.05,28.14,119.37,31.15
2014-11-18,61500.0,115.05,28.2,119.13,30.86
2014-11-19,63250.0,113.68,28.08,119.01,30.73
2014-11-20,62250.0,114.86,28.16,118.95,31.18
2014-11-21,60500.0,115.39,28.07,119.61,31.69
2014-11-24,58500.0,115.11,28.1,119.64,31.33
2014-11-25,57500.0,115.38,28.23,119.82,30.72
2014-11-26,55500.0,115.16,28.31,119.94,30.5
2014-11-28,57750.0,112.11,28.2,118.74,27.97
2014-12-01,62000.0,116.58,28.27,117.27,28.61
2014-12-02,56250.0,115.14,28.02,117.63,27.88
2014-12-03,54500.0,116.33,27.92,117.63,27.51
2014-12-04,53750.0,115.88,27.99,117.51,27.35
2014-12-05,52000.0,114.43,27.74,117.39,27.08
2014-12-08,55250.0,115.78,27.84,116.67,26.05
2014-12-09,56000.0,118.19,28.02,116.34,26.27
2014-12-10,67000.0,117.96,28.18,114.96,25.41
2014-12-11,75250.0,117.69,28.07,114.24,24.98
2014-12-12,83000.0,117.41,28.17,112.89,24.2
2014-12-15,78750.0,114.39,28.14,113.22,23.68
2014-12-16,86000.0,114.95,28.38,112.38,23.48
2014-12-17,69000.0,114.27,28.07,114.51,23.76
2014-12-18,64500.0,115.15,28.0,115.32,23.27
2014-12-19,63250.0,114.77,27.96,116.67,24.31
2014-12-22,57750.0,112.55,27.97,116.52,23.47
2014-12-23,57750.0,112.74,27.78,116.88,24.11
2014-12-24,57250.0,112.77,27.85,117.21,23.58
