date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
9/22/14,101.06,,,0,,0,,,,,,
9/23/14,102.64,,,0,0,0,0,0,100000,100000,,
9/24/14,101.75,,,0,0,0,0,0,100000,100000,0,0
9/25/14,97.87,,,0,0,0,0,0,100000,100000,0,0
9/26/14,100.75,,,0,0,0,0,0,100000,100000,0,0
9/29/14,100.11,,,0,0,0,0,0,100000,100000,0,0
9/30/14,100.75,,,0,0,0,0,0,100000,100000,0,0
10/1/14,99.18,,,0,0,0,0,0,100000,100000,0,0
10/2/14,99.9,,,0,0,0,0,0,100000,100000,0,0
10/3/14,99.62,,,0,0,0,0,0,100000,100000,0,0
10/6/14,99.62,,,0,0,0,0,0,100000,100000,0,0
10/7/14,98.75,,,0,0,0,0,0,100000,100000,0,0
10/8/14,100.8,,,0,0,0,0,0,100000,100000,0,0
10/9/14,101.02,,,0,0,0,0,0,100000,100000,0,0
10/10/14,100.73,,,0,0,0,0,0,100000,100000,0,0
10/13/14,99.81,,,0,0,0,0,0,100000,100000,0,0
10/14/14,98.75,,,0,0,0,0,0,100000,100000,0,0
10/15/14,97.54,,,0,0,0,0,0,100000,100000,0,0
10/16/14,96.26,,,0,0,0,0,0,100000,100000,0,0
10/17/14,97.67,,,0,0,0,0,0,100000,100000,0,0
10/20/14,99.76,,,0,0,0,0,0,100000,100000,0,0
10/21/14,102.47,,,0,0,0,0,0,100000,100000,0,0
10/22/14,102.99,,,0,0,0,0,0,100000,100000,0,0
10/23/14,104.83,,,0,0,0,0,0,100000,100000,0,0
10/24/14,105.22,,,0,0,0,0,0,100000,100000,0,0
10/27/14,105.11,,,0,0,0,0,0,100000,100000,0,0
10/28/14,106.74,,,0,0,0,0,0,100000,100000,0,0
10/29/14,107.34,,,0,0,0,0,0,100000,100000,0,0
10/30/14,106.98,,,0,0,0,0,0,100000,100000,0,0
10/31/14,108,,,0,0,0,0,0,100000,100000,0,0
11/3/14,109.4,,,0,0,0,0,0,100000,100000,0,0
11/4/14,108.6,,,0,0,0,0,0,100000,100000,0,0
11/5/14,108.86,,,0,0,0,0,0,100000,100000,0,0
11/6/14,108.7,,,0,0,0,0,0,100000,100000,0,0
11/7/14,109.01,,,0,0,0,0,0,100000,100000,0,0
11/10/14,108.83,,,0,0,0,0,0,100000,100000,0,0
11/11/14,109.7,,,0,0,0,0,0,100000,100000,0,0
11/12/14,111.25,,,0,0,0,0,0,100000,100000,0,0
11/13/14,112.82,,,0,0,0,0,0,100000,100000,0,0
11/14/14,114.18,,,0,0,0,0,0,100000,100000,0,0
11/17/14,113.99,,,0,0,0,0,0,100000,100000,0,0
11/18/14,115.47,,,0,0,0,0,0,100000,100000,0,0
11/19/14,114.67,,,0,0,0,0,0,100000,100000,0,0
11/20/14,116.31,,,0,0,0,0,0,100000,100000,0,0
11/21/14,116.47,,,0,0,0,0,0,100000,100000,0,0
11/24/14,118.625,,,0,0,0,0,0,100000,100000,0,0
11/25/14,117.6,,,0,0,0,0,0,100000,100000,0,0
11/26/14,119,,,0,0,0,0,0,100000,100000,0,0
11/28/14,118.93,,,0,0,0,0,0,100000,100000,0,0
12/1/14,115.07,106.2301,,0,0,0,0,0,100000,100000,0,0
12/2/14,114.63,106.5015,,0,0,0,0,0,100000,100000,0,0
12/3/14,115.93,106.7673,,0,0,0,0,0,100000,100000,0,0
12/4/14,115.49,107.0421,,0,0,0,0,0,100000,100000,0,0
12/5/14,115,107.3847,,0,0,0,0,0,100000,100000,0,0
12/8/14,112.4,107.6177,,0,0,0,0,0,100000,100000,0,0
12/9/14,114.12,107.8979,,0,0,0,0,0,100000,100000,0,0
12/10/14,111.95,108.1219,,0,0,0,0,0,100000,100000,0,0
12/11/14,111.62,108.3707,,0,0,0,0,0,100000,100000,0,0
12/12/14,109.73,108.5673,,0,0,0,0,0,100000,100000,0,0
12/15/14,108.225,108.7394,,0,0,0,0,0,100000,100000,0,0
12/16/14,106.745,108.8819,,0,0,0,0,0,100000,100000,0,0
12/17/14,109.41,109.0951,,0,0,0,0,0,100000,100000,0,0
12/18/14,112.65,109.3321,,0,0,0,0,0,100000,100000,0,0
12/19/14,111.78,109.5473,,0,0,0,0,0,100000,100000,0,0
